Name,Shape,Entries,Compression,Elapsed Time (s)
H,"(655360, 655360)",71761921,5985.022747649133,17.597538709640503
S,"(655360, 655360)",29760,14432013.76344086,17.597562551498413
F,"(655360, 655360)",25664,16735377.556109726,17.597573041915894
B_out,"(655360, 655360)",2002821,214445.8888737436,17.59758186340332
B_in,"(655360, 655360)",1671169,257003.76778171447,17.59758973121643
