Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (32, 32), (32, 32), (14, 14), (20, 20)]","[3, 3, 3, 13]",31324,41991244.234452814,17.334683179855347
S,"[(4, 4), (32, 32), (32, 32), (14, 14), (20, 20)]","[1, 1, 1, 5]",5044,260771953.68754956,17.33471131324768
F,"[(4, 4), (32, 32), (32, 32), (14, 14), (20, 20)]","[1, 1, 1, 5]",5044,260771953.68754956,17.33472466468811
B_out,"[(4, 4), (32, 32), (32, 32), (14, 14), (20, 20)]","[4, 36, 27, 3]",1159924,1133982.6871415714,17.334736585617065
B_in,"[(4, 4), (32, 32), (32, 32), (14, 14), (20, 20)]","[2, 2, 2, 2]",9808,134108251.87601958,17.334747552871704
