Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (16, 16), (16, 16), (7, 7), (12, 12), (12, 12), (12, 12)]","[3, 3, 3, 6, 23, 9]",56514,2714734875.9673,208.4898202419281
S,"[(4, 4), (16, 16), (16, 16), (7, 7), (12, 12), (12, 12), (12, 12)]","[3, 3, 2, 4, 9, 5]",16664,9206704679.573692,208.48984909057617
F,"[(4, 4), (16, 16), (16, 16), (7, 7), (12, 12), (12, 12), (12, 12)]","[1, 1, 1, 2, 4, 4]",4658,32936995873.854874,208.48986506462097
B_out,"[(4, 4), (16, 16), (16, 16), (7, 7), (12, 12), (12, 12), (12, 12)]","[4, 34, 85, 89, 47, 3]",1768493,86752125.5557223,208.48988008499146
B_in,"[(4, 4), (16, 16), (16, 16), (7, 7), (12, 12), (12, 12), (12, 12)]","[8, 38, 89, 93, 50, 4]",2048293,74901650.68201473,208.48989272117615
