Name,Shape,Entries,Compression,Elapsed Time (s)
H,"(3096576, 3096576)",128507905,74616.28857599071,19.997016191482544
S,"(3096576, 3096576)",292627216,32767.91220874001,19.997040033340454
F,"(3096576, 3096576)",146313232,65535.992833348115,19.997050046920776
B_out,"(3096576, 3096576)",7403943,1295091.4024832444,19.997058391571045
B_in,"(3096576, 3096576)",7439629,1288879.17983222,19.997066497802734
