Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (32, 32), (32, 32), (14, 14), (14, 14)]","[3, 3, 3, 22]",35728,18039451.686520375,136.1726417541504
S,"[(4, 4), (32, 32), (32, 32), (14, 14), (14, 14)]","[1, 1, 1, 7]",4808,134050234.99500832,136.17310047149658
F,"[(4, 4), (32, 32), (32, 32), (14, 14), (14, 14)]","[1, 1, 1, 7]",4808,134050234.99500832,136.17326879501343
B_out,"[(4, 4), (32, 32), (32, 32), (14, 14), (14, 14)]","[4, 66, 49, 29]",3866216,166703.96321778194,136.17340970039368
