Name,Shape,Entries,Compression,Elapsed Time (s)
H,"(802816, 802816)",92848129,6941.588772952011,20.251758813858032
S,"(802816, 802816)",42576,15137954.008267568,20.251803398132324
F,"(802816, 802816)",38480,16749312.106444906,20.251819133758545
B_out,"(802816, 802816)",2720521,236908.12526571198,20.251835107803345
