Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (32, 32), (32, 32), (12, 12), (16, 16), (16, 16)]","[3, 3, 3, 25, 17]",142432,1111615889.6859133,359.00155782699585
S,"[(4, 4), (32, 32), (32, 32), (12, 12), (16, 16), (16, 16)]","[1, 1, 1, 6, 6]",13680,11573806608.16842,359.00158739089966
B_out,"[(4, 4), (32, 32), (32, 32), (12, 12), (16, 16), (16, 16)]","[4, 64, 106, 61, 6]",8235360,19225592.37237279,359.00160360336304
B_in,"[(4, 4), (32, 32), (32, 32), (12, 12), (16, 16), (16, 16)]","[6, 66, 110, 64, 6]",8953440,17683669.56161475,359.00161600112915
