Name,Shape,Entries,Compression,Elapsed Time (s)
H,"(12582912, 12582912)",995622913,159025.74391610452,153.4785509109497
S,"(12582912, 12582912)",9441344,16769823.70303889,153.478577375412
q,torch.Size([12582912]),12582912,1.0,153.4785978794098
B_out,"(12582912, 12582912)",30830051,5135563.168537866,153.47860836982727
B_in,"(12582912, 12582912)",30091697,5261573.463262773,153.47861623764038
