Name,Shape,Entries,Compression,Elapsed Time (s)
H,"(12386304, 12386304)",514031617,298465.1560458702,92.91811084747314
B_out,"(12386304, 12386304)",29611569,5181100.8994631795,92.91813206672668
B_in,"(12386304, 12386304)",29754621,5156191.597278822,92.91814112663269
S,"(12386304, 12386304)",292629536,524282.4387365191,92.91814875602722
F,"(12386304, 12386304)",146313248,1048575.7706671647,92.91815567016602
