Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (12, 12), (12, 12)]","[3, 3, 3, 4, 12, 17]",37836,450542478.0057089,50.24866724014282
S,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (12, 12), (12, 12)]","[1, 1, 1, 2, 4, 9]",7234,2356472933.0693946,50.24869751930237
F,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (12, 12), (12, 12)]","[1, 1, 1, 1, 2, 7]",3633,4692189704.8786125,50.24871301651001
B_out,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (12, 12), (12, 12)]","[4, 28, 46, 46, 48, 7]",546868,31171553.643336236,50.24872827529907
B_in,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (12, 12), (12, 12)]","[8, 32, 49, 49, 49, 8]",680737,25041572.880310606,50.248740673065186
