Name,Shape,Entries,Compression,Elapsed Time (s)
H,"(4128768, 4128768)",171343873,99488.38496153288,20.731959581375122
S,"(4128768, 4128768)",16258080,1048507.8925570548,20.73198366165161
F,"(4128768, 4128768)",16257056,1048573.936008094,20.731992959976196
B_out,"(4128768, 4128768)",9563219,1782530.045356485,20.732001781463623
B_in,"(4128768, 4128768)",9603329,1775084.993737484,20.732009649276733
